FileName;timestamp;peds_speed;weaving;swerving;sideslip;weather;timeofday;roadtype;Congestion;Jerkiness;Fron_vehicle;RelSpeed;RelDist;BrakeLight;Turns;Stops_Y;Stops_Z;Ground_Truth_Rating;City;person;car;stopsign;buses;trafficlight;trafficlight_color;truck;motorcycle;bicycle
0000f77c-62c2a288;5s;0;0;0;0;0;dawn/dusk;2;0;-8;0;0;0;0;2.65;0.1722;17.4;4;NewYork;2;5;1;0;0;0;0;0;0
0000f77c-62c2a288;10s;0;0;0;0;0;dawn/dusk;2;0;-7.7;0;0;0;0;2.43;0.1294;48.8;4;NewYork;0;5;5;0;0;0;0;0;0
0000f77c-62c2a288;15s;0;0;0;0;0;dawn/dusk;2;0;-6.619047619;0;0;0;0;4.25;0.0604;6.2;4;NewYork;4;0;0;0;0;0;0;0;0
0000f77c-62c2a288;20s;0;0;0;0;0;dawn/dusk;2;0;-12.4;0;0;0;0;5.04;0.0288;40.8;4;NewYork;0;1;2;0;1;0;0;0;0
0000f77c-62c2a288;25s;0;0;0;0;0;dawn/dusk;2;0;-4.7;0;0;0;0;1.3;0.0666;33.6;4;NewYork;0;14;1;0;0;0;0;0;0
0000f77c-62c2a288;30s;0;0;0;0;0;dawn/dusk;2;0;-6.85;0;0;0;0;0.5;0.0656;7;5;NewYork;0;16;3;0;0;0;0;0;0
0000f77c-62c2a288;35s;0;0;0;0;0;dawn/dusk;2;1;-9.9;0;0;0;0;3.72;0.1628;18.8;5;NewYork;0;32;1;0;1;0;1;0;0
0000f77c-cb820c98.mov;5s;0;0;0;0;0;dawn/dusk;0;1;-5.2;1;4.18;2.03;0;0.77;0.1032;0.2;4;NewYork;0;37;0;0;12;0;0;0;0
0000f77c-cb820c98.mov;10s;0;0;0;0;0;dawn/dusk;0;1;-8.65;0;0;0;0;0.7;0.132;6;4;NewYork;0;55;0;0;1;0;0;0;0
0000f77c-cb820c98.mov;15s;0;0;0;0;0;dawn/dusk;0;1;-10.1;0;0;0;0;0.73;0.1572;39;4;NewYork;0;33;0;0;1;0;1;0;0
0000f77c-cb820c98.mov;20s;0;0;0;0;0;dawn/dusk;0;1;-22.9;1;0;1.19;0;2.64;0.2348;47.4;4;NewYork;0;44;0;0;5;0;2;0;0
0000f77c-cb820c98.mov;25s;0;0;0;0;0;dawn/dusk;0;0;-2.142857143;1;0;1.19;0;13.26;0.0702;49.2;4;NewYork;1;30;0;0;24;0;0;0;0
0000f77c-cb820c98.mov;30s;0;0;0;0;0;dawn/dusk;0;0;-2.952380952;1;0;1.19;0;12.82;0.0678;49.4;4;NewYork;2;25;0;0;25;0;0;0;0
0000f77c-cb820c98.mov;35s;0;0;0;0;0;dawn/dusk;0;0;-1.9;1;0;1.19;0;0;0.0686;35.6;4;NewYork;0;25;0;0;25;0;0;0;0
00067cfb-5adfaaa7;5s;0;0;0;0;0;night;2;0;-39.6;0;0;0;0;2.63;0.1382;11.8;4;NewYork;0;23;0;0;0;0;2;0;0
00067cfb-5adfaaa7;10s;0;0;0;0;0;night;2;1;-15.34;1;1.2;2.2;0;3.71;0.113;41.2;3;NewYork;0;33;0;0;0;0;2;0;0
00067cfb-5adfaaa7;15s;0;0;0;0;0;night;2;0;-7.85;1;1.1;2;0;4.1;0.0898;9.2;4;NewYork;0;29;0;0;0;0;2;0;0
00067cfb-5adfaaa7;20s;0;0;0;0;0;night;2;0;-15.44;1;6.4;0.5;1;5.35;0.1298;14.2;3;NewYork;0;17;0;1;0;0;5;0;0
00067cfb-5adfaaa7;25s;0;0;0;0;0;night;2;0;-4.14;1;-4.3;2.5;1;17.26;0.0402;18.2;4;NewYork;0;18;0;0;0;0;5;0;0
00067cfb-5adfaaa7;30s;0;0;0;0;0;night;2;0;-3.39;1;-1.2;4.6;0;4.13;0.0336;0;4;NewYork;0;20;0;0;0;0;8;0;0
00067cfb-5adfaaa7;35s;0;0;0;0;0;night;2;0;-4.69;1;-4.8;8.9;0;3.24;0.057;18.4;4;NewYork;0;28;0;0;1;0;3;0;0
00067cfb-caba8a02.mov;5s;0;0;0;1;0;daytime;2;0;-7.095238095;0;0;0;0;2.92;0.135;39.2;4;NewYork;0;8;0;2;0;2;1;0;0
00067cfb-caba8a02.mov;10s;0;0;0;1;0;daytime;2;0;-8.25;1;-2.1;3.3;0;3.67;0.117;41.2;4;NewYork;3;24;0;0;2;2;0;0;0
00067cfb-caba8a02.mov;15s;0;1;0;0;0;daytime;2;0;-4.7;1;2.6;1.3;1;4.51;0.1062;46.6;4;NewYork;1;17;0;0;14;2;3;0;0
00067cfb-caba8a02.mov;20s;0;1;0;0;0;daytime;2;0;-9.4;0;0;0;0;31.42;0.285;39.2;3;NewYork;0;20;1;0;27;2;2;0;0
00067cfb-caba8a02.mov;25s;0;0;0;0;0;daytime;2;0;-5.5;0;0;0;0;23.85;0.0632;43;3;NewYork;0;20;0;0;1;2;3;0;0
00067cfb-caba8a02.mov;30s;0;0;0;0;0;daytime;2;0;-6.5;0;0;0;0;4.46;0.1642;3;4;NewYork;0;29;0;0;2;2;3;0;0
00067cfb-caba8a02.mov;35s;0;0;0;0;0;daytime;2;0;-7.7;0;0;0;0;4.11;0.087;15.4;4;NewYork;0;23;0;0;0;2;6;0;0
00067cfb-e535423e;5s;0;0;0;0;0;dawn/dusk;1;0;-7.6;0;0;0;0;0;0.1332;26.8;4;NewYork;17;29;0;1;19;0;5;1;0
00067cfb-e535423e;10s;0;0;0;0;0;dawn/dusk;1;1;-2.6;0;0;0;0;0;0.0736;48.8;4;NewYork;43;31;0;0;19;0;6;0;0
00067cfb-e535423e;15s;1;0;1;0;0;dawn/dusk;1;0;-4.65;0;0;0;0;15.64;0.1322;0.2;4;NewYork;35;28;0;3;4;0;5;0;0
00067cfb-e535423e;20s;0;0;1;0;0;dawn/dusk;1;0;-21.1;1;8.23;1.2;0;0.04;0.2252;21.4;3;NewYork;13;28;0;3;10;0;1;0;4
00067cfb-e535423e;25s;0;0;0;0;0;dawn/dusk;1;1;-2.2;0;0;0;0;0;-0.0164;48.2;5;NewYork;56;32;0;4;23;0;2;0;1
00067cfb-e535423e;30s;2;0;0;0;0;dawn/dusk;1;0;-0.4;0;0;0;0;0;-0.0214;50;4;NewYork;56;24;0;1;20;0;3;0;0
